接收时间,电流,电压,功率因素,有功功率,年用电量,有功电能,无功电能,电源频率,带负载工作时间,仪表地址,日工作小时
17:48:08,0.1374,217.20,0.49188,14.70506,42.93879,31.2584,45.14501,50.00,0655:05:01,1,08
17:48:09,0.14414,217.20,0.49424,15.49952,45.25861,31.25841,45.14502,50.00,0655:05:02,1,08
17:48:10,0.14427,217.20,0.49425,15.50964,45.28815,31.25841,45.14502,50.00,0655:05:03,1,08
17:48:11,0.14427,217.20,0.49425,15.50964,45.28815,31.25841,45.14502,50.00,0655:05:03,1,08
17:48:12,0.14503,217.10,0.49508,15.61422,45.59352,31.25842,45.14503,50.00,0655:05:04,1,08
17:48:13,0.1443,217.10,0.49376,15.49277,45.2389,31.25842,45.14503,50.00,0655:05:05,1,08
17:48:14,0.14421,217.10,0.49354,15.47591,45.18965,31.25843,45.14504,50.00,0655:05:06,1,08
17:48:15,0.14216,217.10,0.4982,15.40338,44.97786,31.25843,45.14504,50.00,0655:05:07,1,08
17:48:16,0.14262,217.20,0.49995,15.5147,45.30293,31.25844,45.14504,50.00,0655:05:08,1,08
17:48:17,0.1353,217.40,0.5024,14.79952,43.21461,31.25844,45.14505,50.00,0655:05:09,1,08
17:48:18,0.13799,217.30,0.49927,14.99687,43.79086,31.25844,45.14505,50.00,0655:05:10,1,08
17:48:19,0.14288,217.40,0.49919,15.52988,45.34726,31.25845,45.14506,50.00,0655:05:11,1,08
17:48:20,0.14215,217.40,0.50229,15.54844,45.40144,31.25845,45.14506,50.00,0655:05:12,1,08
17:48:21,0.14216,217.40,0.50245,15.55519,45.42114,31.25846,45.14507,50.00,0655:05:13,1,08
17:48:22,0.14305,217.50,0.50206,15.64627,45.6871,31.25846,45.14507,50.00,0655:05:14,1,08
17:48:23,0.14516,217.50,0.5016,15.8588,46.30769,31.25847,45.14508,50.00,0655:05:15,1,08
17:48:24,0.14288,217.40,0.49886,15.52145,45.32264,31.25847,45.14508,50.00,0655:05:16,1,08
17:48:25,0.14168,217.20,0.50164,15.4641,45.15517,31.25848,45.14508,50.00,0655:05:17,1,08
17:48:26,0.14205,217.20,0.50071,15.47085,45.17487,31.25848,45.14509,50.00,0655:05:18,1,08
17:48:27,0.14122,217.10,0.49978,15.34771,44.81532,31.25849,45.14509,50.00,0655:05:19,1,08
17:48:28,0.14335,217.10,0.49654,15.47759,45.19457,31.25849,45.1451,50.00,0655:05:21,1,08
17:48:29,0.13687,217.10,0.49512,14.73205,43.01759,31.25849,45.1451,50.00,0655:05:22,1,08
17:48:30,0.13605,217.10,0.49658,14.69157,42.89939,31.2585,45.14511,50.00,0655:05:23,1,08
17:48:31,0.14209,217.00,0.50087,15.47085,45.17487,31.2585,45.14511,50.00,0655:05:24,1,08
17:48:32,0.14547,216.90,0.49856,15.75928,46.0171,31.25851,45.14512,50.00,0655:05:25,1,08
17:48:33,0.1434,216.80,0.49854,15.52651,45.33741,31.25851,45.14512,50.00,0655:05:26,1,08
17:48:34,0.14357,216.80,0.49773,15.51639,45.30786,31.25852,45.14512,50.00,0655:05:27,1,08
17:48:35,0.14452,216.80,0.49694,15.59398,45.53442,31.25852,45.14513,50.00,0655:05:28,1,08
17:48:36,0.14452,216.80,0.49694,15.59398,45.53442,31.25852,45.14513,50.00,0655:05:28,1,08
17:48:37,0.1432,216.80,0.5,15.54506,45.39159,31.25853,45.14513,50.00,0655:05:29,1,08
17:48:38,0.14312,216.80,0.49718,15.45061,45.11578,31.25853,45.14514,50.00,0655:05:30,1,08
17:48:39,0.14248,216.80,0.49826,15.41856,45.02219,31.25853,45.14514,50.00,0655:05:31,1,08
17:48:40,0.14328,217.00,0.49816,15.5147,45.30293,31.25854,45.14515,50.00,0655:05:32,1,08
17:48:41,0.14305,217.10,0.49908,15.52482,45.33249,31.25854,45.14515,50.00,0655:05:33,1,08
17:48:42,0.14369,217.10,0.49779,15.55012,45.40636,31.25855,45.14516,50.00,0655:05:34,1,08
17:48:43,0.14673,217.00,0.49482,15.77784,46.07129,31.25855,45.14516,50.00,0655:05:35,1,08
17:48:44,0.14524,216.90,0.49385,15.58217,45.49994,31.25856,45.14517,50.00,0655:05:36,1,08
17:48:45,0.14399,216.90,0.49822,15.58217,45.49994,31.25856,45.14517,50.00,0655:05:37,1,08
17:48:46,0.14461,217.00,0.4978,15.6429,45.67726,31.25857,45.14518,50.00,0655:05:38,1,08
17:48:47,0.14372,217.10,0.49644,15.5147,45.30293,31.25857,45.14518,50.00,0655:05:39,1,08
17:48:48,0.14547,217.10,0.49392,15.62265,45.61815,31.25858,45.14518,50.00,0655:05:40,1,08
17:48:49,0.14431,217.20,0.49377,15.49952,45.25861,31.25858,45.14519,50.00,0655:05:42,1,08
17:48:50,0.14345,217.20,0.49713,15.51302,45.29801,31.25858,45.14519,50.00,0655:05:43,1,08
17:48:51,0.14378,217.20,0.49871,15.59735,45.54427,31.25859,45.1452,50.00,0655:05:44,1,08
17:48:52,0.14378,217.30,0.49698,15.5535,45.41621,31.25859,45.1452,50.00,0655:05:45,1,08
17:48:53,0.14384,217.30,0.49758,15.57711,45.48517,31.2586,45.14521,50.00,0655:05:46,1,08
17:48:54,0.14357,217.20,0.50027,15.62603,45.628,31.2586,45.14521,50.00,0655:05:47,1,08
17:48:55,0.1437,217.20,0.49946,15.61591,45.59845,31.25861,45.14522,50.00,0655:05:48,1,08
17:48:56,0.14365,217.10,0.49849,15.56868,45.46054,31.25861,45.14522,50.00,0655:05:49,1,08
17:48:57,0.14421,217.00,0.49623,15.55181,45.41129,31.25862,45.14523,50.00,0655:05:50,1,08
17:48:58,0.14367,216.90,0.498,15.54506,45.39159,31.25862,45.14523,50.00,0655:05:51,1,08
17:48:59,0.14346,217.10,0.4994,15.57543,45.48024,31.25863,45.14523,50.00,0655:05:52,1,08
17:49:00,0.14304,217.20,0.49886,15.52651,45.33741,31.25863,45.14524,50.00,0655:05:53,1,08
17:49:01,0.14416,217.30,0.49806,15.6294,45.63785,31.25863,45.14524,50.00,0655:05:54,1,08
17:49:02,0.14367,217.30,0.49477,15.47253,45.1798,31.25864,45.14525,50.00,0655:05:55,1,08
17:49:03,0.14312,217.60,0.49843,15.54675,45.39651,31.25864,45.14525,50.00,0655:05:56,1,08
17:49:04,0.14312,217.60,0.49843,15.54675,45.39651,31.25864,45.14525,50.00,0655:05:56,1,08
17:49:05,0.14267,217.70,0.50005,15.55519,45.42114,31.25865,45.14526,50.00,0655:05:57,1,08
17:49:06,0.1432,217.70,0.49768,15.53663,45.36696,31.25865,45.14526,50.00,0655:05:58,1,08
17:49:07,0.1432,217.40,0.498,15.53157,45.35218,31.25866,45.14527,50.00,0655:05:59,1,08
17:49:08,0.14469,217.50,0.49476,15.59398,45.53442,31.25866,45.14527,50.00,0655:06:00,1,08
17:49:09,0.1428,217.40,0.49826,15.4894,45.22905,31.25867,45.14528,50.00,0655:06:01,1,08
17:49:10,0.14283,217.50,0.49913,15.52988,45.34726,31.25867,45.14528,50.00,0655:06:03,1,08
17:49:11,0.14262,217.50,0.49957,15.51976,45.31771,31.25868,45.14528,50.00,0655:06:04,1,08
17:49:12,0.14221,217.70,0.49842,15.45398,45.12562,31.25868,45.14529,50.00,0655:06:05,1,08
17:49:13,0.14493,217.70,0.49098,15.51808,45.31278,31.25868,45.14529,50.00,0655:06:06,1,08
17:49:14,0.14342,217.70,0.4966,15.53326,45.35711,31.25869,45.1453,50.00,0655:06:07,1,08
17:49:15,0.14248,217.70,0.49756,15.45567,45.13055,31.25869,45.1453,50.00,0655:06:08,1,08
17:49:16,0.14296,217.80,0.49719,15.5029,45.26846,31.2587,45.14531,50.00,0655:06:09,1,08
17:49:17,0.13806,217.90,0.49076,14.7894,43.18505,31.2587,45.14531,50.00,0655:06:10,1,08
17:49:18,0.14286,218.00,0.49897,15.56193,45.44084,31.25871,45.14532,50.00,0655:06:11,1,08
17:49:19,0.14269,218.00,0.49946,15.55856,45.43099,31.25871,45.14532,50.00,0655:06:12,1,08
17:49:20,0.1423,218.00,0.49919,15.50796,45.28323,31.25872,45.14533,50.00,0655:06:13,1,08
17:49:21,0.14259,217.90,0.49881,15.52651,45.33741,31.25872,45.14533,50.00,0655:06:14,1,08
17:49:22,0.14518,217.90,0.49404,15.65133,45.70188,31.25872,45.14533,50.00,0655:06:15,1,08
17:49:23,0.14334,217.70,0.50005,15.62772,45.63293,31.25873,45.14534,50.00,0655:06:16,1,08
17:49:24,0.14299,217.60,0.49756,15.50964,45.28815,31.25873,45.14534,50.00,0655:06:17,1,08
17:49:25,0.14564,217.80,0.49931,15.86723,46.33232,31.25874,45.14535,50.00,0655:06:18,1,08
17:49:26,0.13473,217.80,0.49438,14.53133,42.43148,31.25874,45.14535,50.00,0655:06:19,1,08
17:49:27,0.13738,217.80,0.48835,14.63591,42.73684,31.25875,45.14536,50.00,0655:06:20,1,08
17:49:28,0.14248,217.80,0.49756,15.46747,45.16503,31.25875,45.14536,50.00,0655:06:21,1,08
17:49:29,0.14258,217.80,0.49642,15.44386,45.09607,31.25876,45.14537,50.00,0655:06:22,1,08
17:49:30,0.14386,217.80,0.49774,15.61759,45.60337,31.25876,45.14537,50.00,0655:06:23,1,08
17:49:31,0.14386,217.80,0.49774,15.61759,45.60337,31.25876,45.14537,50.00,0655:06:23,1,08
17:49:32,0.14285,217.70,0.49599,15.45061,45.11578,31.25877,45.14538,50.00,0655:06:25,1,08
17:49:33,0.1384,217.50,0.48909,14.74892,43.06684,31.25877,45.14538,50.00,0655:06:26,1,08
17:49:34,0.13643,217.50,0.49325,14.6629,42.81565,31.25877,45.14538,50.00,0655:06:27,1,08
17:49:35,0.14307,217.60,0.4974,15.51302,45.29801,31.25878,45.14539,50.00,0655:06:28,1,08
17:49:36,0.14285,217.60,0.49772,15.49446,45.24382,31.25878,45.14539,50.00,0655:06:29,1,08
17:49:37,0.14323,217.40,0.49367,15.39832,44.96309,31.25879,45.1454,50.00,0655:06:30,1,08
17:49:38,0.13978,217.30,0.49789,15.14699,44.22921,31.25879,45.1454,50.00,0655:06:31,1,08
17:49:39,0.13725,217.40,0.49537,14.80796,43.23923,31.2588,45.14541,50.00,0655:06:32,1,08
17:49:40,0.14335,217.60,0.4966,15.51639,45.30786,31.2588,45.14541,50.00,0655:06:33,1,08
17:49:41,0.14172,217.70,0.48957,15.12844,44.17504,31.2588,45.14542,50.00,0655:06:34,1,08
17:49:42,0.14464,217.90,0.49027,15.47422,45.18472,31.25881,45.14542,50.00,0655:06:35,1,08
17:49:43,0.1452,217.70,0.49046,15.52988,45.34726,31.25881,45.14543,50.00,0655:06:36,1,08
17:49:44,0.14472,217.50,0.49187,15.50964,45.28815,31.25882,45.14543,50.00,0655:06:37,1,08
17:49:45,0.1452,217.60,0.49232,15.5788,45.49009,31.25882,45.14543,50.00,0655:06:38,1,08
17:49:46,0.14294,217.50,0.49708,15.48097,45.20442,31.25883,45.14544,50.00,0655:06:39,1,08
17:49:47,0.14406,217.40,0.49441,15.51133,45.29308,31.25883,45.14544,50.00,0655:06:40,1,08
17:49:48,0.14289,217.40,0.49794,15.49277,45.2389,31.25884,45.14545,50.00,0655:06:41,1,08
17:49:49,0.1425,217.30,0.50016,15.50964,45.28815,31.25884,45.14545,50.00,0655:06:42,1,08
17:49:50,0.13761,217.30,0.49994,14.97494,43.72683,31.25885,45.14546,50.00,0655:06:43,1,08
17:49:51,0.1404,217.40,0.49846,15.24145,44.50503,31.25885,45.14546,50.00,0655:06:45,1,08
17:49:52,0.14391,217.50,0.495,15.51808,45.31278,31.25885,45.14547,50.00,0655:06:46,1,08
17:49:54,0.14326,217.60,0.49827,15.55687,45.42607,31.25886,45.14547,50.00,0655:06:47,1,08
17:49:55,0.14278,217.70,0.49837,15.51639,45.30786,31.25886,45.14548,50.00,0655:06:48,1,08
17:49:56,0.14332,217.80,0.49951,15.61759,45.60337,31.25887,45.14548,50.00,0655:06:49,1,08
17:49:57,0.14332,217.80,0.49951,15.61759,45.60337,31.25887,45.14548,50.00,0655:06:49,1,08
17:49:58,0.14294,217.80,0.49762,15.5147,45.30293,31.25887,45.14548,50.00,0655:06:50,1,08
17:49:59,0.14296,217.70,0.49827,15.53494,45.36204,31.25888,45.14549,50.00,0655:06:51,1,08
17:50:00,0.14318,217.70,0.49724,15.52145,45.32264,31.25888,45.14549,50.00,0655:06:52,1,08
17:50:01,0.14321,217.50,0.49789,15.53663,45.36696,31.25889,45.1455,50.00,0655:06:53,1,08
17:50:02,0.14353,217.50,0.49612,15.51302,45.29801,31.25889,45.1455,50.00,0655:06:54,1,08
17:50:03,0.14386,217.50,0.4937,15.47253,45.1798,31.2589,45.14551,50.00,0655:06:55,1,08
17:50:04,0.14024,217.70,0.49459,15.12169,44.15533,31.2589,45.14551,50.00,0655:06:56,1,08
17:50:05,0.14259,217.80,0.49864,15.50796,45.28323,31.2589,45.14552,50.00,0655:06:57,1,08
17:50:06,0.14237,217.90,0.49718,15.44723,45.10592,31.25891,45.14552,50.00,0655:06:58,1,08
17:50:07,0.13538,217.90,0.49207,14.53976,42.4561,31.25891,45.14553,50.00,0655:06:59,1,08
17:50:08,0.1372,217.90,0.49217,14.73374,43.02252,31.25892,45.14553,50.00,0655:07:00,1,08
17:50:09,0.14186,217.70,0.49869,15.42531,45.04189,31.25892,45.14553,50.00,0655:07:01,1,08
17:50:10,0.14179,217.80,0.49869,15.42531,45.04189,31.25893,45.14554,50.00,0655:07:02,1,08
17:50:11,0.14251,217.90,0.4981,15.49446,45.24382,31.25893,45.14554,50.00,0655:07:03,1,08
17:50:12,0.14313,217.90,0.49498,15.46241,45.15025,31.25893,45.14555,50.00,0655:07:05,1,08
17:50:13,0.14266,217.80,0.49529,15.41687,45.01727,31.25894,45.14555,50.00,0655:07:06,1,08
17:50:14,0.14253,217.70,0.49794,15.47759,45.19457,31.25894,45.14556,50.00,0655:07:07,1,08
17:50:15,0.14199,217.70,0.4988,15.44217,45.09114,31.25895,45.14556,50.00,0655:07:08,1,08
17:50:16,0.14255,217.80,0.49837,15.49952,45.25861,31.25895,45.14557,50.00,0655:07:09,1,08
17:50:17,0.14369,217.80,0.49607,15.55181,45.41129,31.25896,45.14557,50.00,0655:07:10,1,08
17:50:18,0.14269,217.80,0.49659,15.45567,45.13055,31.25896,45.14558,50.00,0655:07:11,1,08
17:50:19,0.14283,217.80,0.49854,15.53494,45.36204,31.25897,45.14558,50.00,0655:07:12,1,08
17:50:20,0.14289,217.90,0.49827,15.54169,45.38174,31.25897,45.14558,50.00,0655:07:13,1,08
17:50:21,0.14386,218.00,0.49361,15.5029,45.26846,31.25898,45.14559,50.00,0655:07:14,1,08
17:50:22,0.14285,218.00,0.49735,15.51639,45.30786,31.25898,45.14559,50.00,0655:07:15,1,08
17:50:23,0.14285,218.00,0.49735,15.51639,45.30786,31.25898,45.14559,50.00,0655:07:15,1,08
17:50:24,0.14274,218.00,0.49859,15.53832,45.37189,31.25898,45.1456,50.00,0655:07:16,1,08
17:50:25,0.14278,218.10,0.49789,15.5282,45.34233,31.25899,45.1456,50.00,0655:07:17,1,08
17:50:26,0.14274,218.10,0.49811,15.53157,45.35218,31.25899,45.14561,50.00,0655:07:18,1,08
17:50:27,0.14392,218.10,0.49447,15.54506,45.39159,31.259,45.14561,50.00,0655:07:19,1,08
17:50:28,0.1428,218.20,0.49768,15.52988,45.34726,31.259,45.14562,50.00,0655:07:20,1,08
17:50:29,0.14421,218.20,0.49936,15.73567,45.94814,31.25901,45.14562,50.00,0655:07:21,1,08
17:50:30,0.14172,218.30,0.49826,15.4388,45.08129,31.25901,45.14563,50.00,0655:07:22,1,08
17:50:31,0.13832,218.20,0.49453,14.95133,43.65788,31.25902,45.14563,50.00,0655:07:23,1,08
17:50:32,0.13946,218.20,0.49043,14.94796,43.64803,31.25902,45.14563,50.00,0655:07:24,1,08
17:50:33,0.14248,218.10,0.49691,15.46916,45.16995,31.25902,45.14564,50.00,0655:07:26,1,08
17:50:34,0.14274,218.20,0.49811,15.53832,45.37189,31.25903,45.14564,50.00,0655:07:27,1,08
17:50:35,0.14242,218.10,0.5,15.55519,45.42114,31.25903,45.14565,50.00,0655:07:28,1,08
17:50:36,0.14274,218.10,0.4987,15.55012,45.40636,31.25904,45.14565,50.00,0655:07:29,1,08
17:50:37,0.13791,218.00,0.49317,14.8535,43.37221,31.25904,45.14566,50.00,0655:07:30,1,08
17:50:38,0.13599,218.20,0.4941,14.68482,42.87968,31.25905,45.14566,50.00,0655:07:31,1,08
17:50:39,0.14213,217.90,0.49848,15.46241,45.15025,31.25905,45.14567,50.00,0655:07:32,1,08
17:50:40,0.14235,217.90,0.49913,15.50964,45.28815,31.25906,45.14567,50.00,0655:07:33,1,08
17:50:41,0.14423,217.80,0.49244,15.49783,45.25368,31.25906,45.14568,50.00,0655:07:34,1,08
17:50:42,0.14059,217.80,0.49769,15.26675,44.57891,31.25907,45.14568,50.00,0655:07:35,1,08
17:50:43,0.13619,217.80,0.49415,14.68314,42.87476,31.25907,45.14568,50.00,0655:07:36,1,08
17:50:44,0.14282,217.80,0.49675,15.47422,45.18472,31.25907,45.14569,50.00,0655:07:37,1,08
17:50:45,0.1425,217.80,0.49859,15.50121,45.26353,31.25908,45.14569,50.00,0655:07:38,1,08
17:50:46,0.14403,217.70,0.49366,15.5029,45.26846,31.25908,45.1457,50.00,0655:07:39,1,08
17:50:47,0.14301,217.70,0.49746,15.51302,45.29801,31.25909,45.1457,50.00,0655:07:40,1,08
17:50:48,0.14301,217.70,0.49746,15.51302,45.29801,31.25909,45.1457,50.00,0655:07:40,1,08
17:50:49,0.14266,217.80,0.49702,15.46579,45.1601,31.25909,45.14571,50.00,0655:07:41,1,08
17:50:50,0.13723,217.90,0.49718,14.88892,43.47564,31.2591,45.14571,50.00,0655:07:42,1,08
17:50:51,0.14285,217.70,0.4974,15.49446,45.24382,31.2591,45.14572,50.00,0655:07:43,1,08
17:50:52,0.14449,217.70,0.49282,15.52482,45.33249,31.25911,45.14572,50.00,0655:07:44,1,08
17:50:53,0.14381,217.60,0.49682,15.57205,45.47039,31.25911,45.14572,50.00,0655:07:45,1,08
17:50:54,0.14348,217.60,0.49795,15.57205,45.47039,31.25911,45.14573,50.00,0655:07:47,1,08
17:50:55,0.14408,217.80,0.49683,15.61253,45.5886,31.25912,45.14573,50.00,0655:07:48,1,08
17:50:56,0.14472,217.90,0.49701,15.70024,45.84472,31.25912,45.14574,50.00,0655:07:49,1,08
17:50:57,0.14477,217.90,0.49386,15.6041,45.56397,31.25913,45.14574,50.00,0655:07:50,1,08
17:50:58,0.14639,218.00,0.50058,16.00386,46.73127,31.25913,45.14575,50.00,0655:07:51,1,08
17:50:59,0.14811,218.10,0.50109,16.21301,47.342,31.25914,45.14575,50.00,0655:07:52,1,08
17:51:00,0.14591,218.20,0.50085,15.97012,46.63276,31.25914,45.14576,50.00,0655:07:53,1,08
17:51:01,0.14463,218.20,0.49899,15.7694,46.04665,31.25915,45.14576,50.00,0655:07:54,1,08
17:51:02,0.14776,218.20,0.50439,16.28555,47.5538,31.25915,45.14577,50.00,0655:07:55,1,08
17:51:03,0.14684,218.30,0.50426,16.1894,47.27305,31.25916,45.14577,50.00,0655:07:56,1,08
17:51:04,0.1529,218.40,0.51604,17.25542,50.38584,31.25916,45.14578,50.00,0655:07:57,1,08
17:51:05,0.14796,218.30,0.50021,16.18434,47.25828,31.25917,45.14578,50.00,0655:07:58,1,08
17:51:06,0.14581,218.30,0.49402,15.74916,45.98755,31.25917,45.14579,50.00,0655:07:59,1,08
17:51:07,0.14898,218.50,0.50114,16.3429,47.72126,31.25918,45.14579,50.00,0655:08:00,1,08
17:51:08,0.1535,218.40,0.50236,16.86747,49.25303,31.25918,45.14579,50.00,0655:08:01,1,08
17:51:09,0.14411,218.40,0.49941,15.74241,45.96785,31.25918,45.1458,50.00,0655:08:02,1,08
17:51:10,0.15512,218.20,0.50766,17.21326,50.26271,31.25919,45.1458,50.00,0655:08:03,1,08
17:51:11,0.15336,218.10,0.49763,16.66844,48.67183,31.25919,45.14581,50.00,0655:08:04,1,08
17:51:12,0.14483,217.80,0.48943,15.46579,45.1601,31.2592,45.14581,50.00,0655:08:05,1,08
17:51:13,0.14887,217.90,0.50338,16.35133,47.74588,31.2592,45.14582,50.00,0655:08:06,1,08
17:51:14,0.15072,217.80,0.50703,16.66844,48.67183,31.25921,45.14582,50.00,0655:08:07,1,08
17:51:15,0.14444,217.90,0.49599,15.63278,45.64771,31.25921,45.14583,50.00,0655:08:09,1,08
17:51:16,0.14444,217.90,0.49599,15.63278,45.64771,31.25921,45.14583,50.00,0655:08:09,1,08
17:51:17,0.14297,218.00,0.50119,15.64964,45.69696,31.25922,45.14583,50.00,0655:08:10,1,08
17:51:18,0.14822,218.00,0.50902,16.47446,48.10543,31.25922,45.14584,50.00,0655:08:11,1,08
17:51:19,0.14694,218.10,0.49485,15.88241,46.37665,31.25923,45.14584,50.00,0655:08:12,1,08
17:51:20,0.14499,218.10,0.49089,15.54844,45.40144,31.25923,45.14585,50.00,0655:08:13,1,08
17:51:21,0.14485,218.00,0.49179,15.55181,45.41129,31.25924,45.14585,50.00,0655:08:14,1,08
17:51:22,0.14389,218.00,0.49436,15.52988,45.34726,31.25924,45.14586,50.00,0655:08:15,1,08
17:51:23,0.13579,217.80,0.49334,14.61398,42.67282,31.25925,45.14586,50.00,0655:08:16,1,08
17:51:24,0.14334,217.40,0.4967,15.50627,45.27831,31.25925,45.14586,50.00,0655:08:17,1,08
17:51:25,0.14423,217.40,0.49538,15.56024,45.43592,31.25925,45.14587,50.00,0655:08:18,1,08
17:51:26,0.14425,217.40,0.49415,15.52145,45.32264,31.25926,45.14587,50.00,0655:08:19,1,08
17:51:27,0.14316,217.40,0.4947,15.42193,45.03204,31.25926,45.14588,50.00,0655:08:20,1,08
17:51:28,0.13505,217.40,0.49639,14.59374,42.61372,31.25927,45.14588,50.00,0655:08:21,1,08
17:51:29,0.13466,217.30,0.49885,14.62073,42.69252,31.25927,45.14589,50.00,0655:08:22,1,08
17:51:30,0.14239,217.30,0.49918,15.47085,45.17487,31.25928,45.14589,50.00,0655:08:23,1,08
17:51:31,0.14563,217.30,0.49739,15.76771,46.04173,31.25928,45.1459,50.00,0655:08:24,1,08
17:51:32,0.14401,217.30,0.4979,15.60747,45.57383,31.25929,45.1459,50.00,0655:08:25,1,08
17:51:33,0.14419,217.30,0.49833,15.63784,45.66248,31.25929,45.14591,50.00,0655:08:26,1,08
17:51:34,0.14283,217.30,0.49805,15.48097,45.20442,31.25929,45.14591,50.00,0655:08:27,1,08
17:51:35,0.14427,217.30,0.49382,15.50796,45.28323,31.2593,45.14591,50.00,0655:08:29,1,08
17:51:36,0.144,217.30,0.49403,15.48097,45.20442,31.2593,45.14592,50.00,0655:08:30,1,08
17:51:37,0.14369,217.40,0.49709,15.55687,45.42607,31.25931,45.14592,50.00,0655:08:31,1,08
17:51:38,0.14427,217.50,0.49452,15.54,45.37681,31.25931,45.14593,50.00,0655:08:32,1,08
17:51:39,0.14364,217.40,0.49455,15.46916,45.16995,31.25932,45.14593,50.00,0655:08:33,1,08
17:51:40,0.14202,217.20,0.49197,15.19928,44.3819,31.25932,45.14594,50.00,0655:08:34,1,08
17:51:41,0.14202,217.20,0.49197,15.19928,44.3819,31.25932,45.14594,50.00,0655:08:34,1,08
17:51:42,0.1369,217.00,0.49184,14.63253,42.727,31.25933,45.14594,50.00,0655:08:35,1,08
17:51:43,0.14318,216.90,0.4962,15.43711,45.07637,31.25933,45.14595,50.00,0655:08:36,1,08
17:51:44,0.1445,217.20,0.49587,15.58723,45.51472,31.25933,45.14595,50.00,0655:08:37,1,08
17:51:45,0.14475,217.60,0.49075,15.48603,45.2192,31.25934,45.14596,50.00,0655:08:38,1,08
17:51:46,0.14458,217.70,0.49406,15.57374,45.47532,31.25934,45.14596,50.00,0655:08:39,1,08
17:51:47,0.13688,217.50,0.49191,14.66964,42.83535,31.25935,45.14596,50.00,0655:08:40,1,08
17:51:48,0.14345,217.50,0.49687,15.5282,45.34233,31.25935,45.14597,50.00,0655:08:41,1,08
17:51:49,0.14323,217.10,0.49626,15.45567,45.13055,31.25936,45.14597,50.00,0655:08:42,1,08
17:51:50,0.1351,217.20,0.48904,14.37446,41.97343,31.25936,45.14598,50.00,0655:08:43,1,08
17:51:51,0.14324,217.40,0.49492,15.43543,45.07145,31.25937,45.14598,50.00,0655:08:44,1,08
17:51:53,0.14419,217.30,0.4921,15.44217,45.09114,31.25937,45.14599,50.00,0655:08:45,1,08
17:51:54,0.14028,217.30,0.48835,14.91422,43.54952,31.25937,45.14599,50.00,0655:08:46,1,08
17:51:55,0.14474,217.50,0.49219,15.51976,45.31771,31.25938,45.146,50.00,0655:08:47,1,08
17:51:56,0.14608,217.50,0.49067,15.61253,45.5886,31.25938,45.146,50.00,0655:08:49,1,08
17:51:57,0.14346,217.60,0.49504,15.47759,45.19457,31.25939,45.14601,50.00,0655:08:50,1,08
17:51:58,0.14351,217.60,0.49536,15.49783,45.25368,31.25939,45.14601,50.00,0655:08:51,1,08
17:51:59,0.14403,217.50,0.49419,15.50796,45.28323,31.2594,45.14602,50.00,0655:08:52,1,08
17:52:00,0.14372,217.50,0.49461,15.48603,45.2192,31.2594,45.14602,50.00,0655:08:53,1,08
17:52:01,0.14544,217.40,0.48994,15.51976,45.31771,31.25941,45.14602,50.00,0655:08:54,1,08
17:52:02,0.14373,217.50,0.49375,15.46072,45.14532,31.25941,45.14603,50.00,0655:08:55,1,08
17:52:03,0.1437,217.50,0.49493,15.49109,45.23398,31.25942,45.14603,50.00,0655:08:56,1,08
17:52:04,0.14409,217.40,0.49462,15.52145,45.32264,31.25942,45.14604,50.00,0655:08:57,1,08
17:52:05,0.144,217.40,0.49484,15.51976,45.31771,31.25942,45.14604,50.00,0655:08:58,1,08
17:52:06,0.14541,217.40,0.49041,15.52482,45.33249,31.25943,45.14605,50.00,0655:08:59,1,08
17:52:07,0.14419,217.50,0.49479,15.54506,45.39159,31.25943,45.14605,50.00,0655:09:00,1,08
17:52:08,0.14419,217.50,0.49479,15.54506,45.39159,31.25943,45.14605,50.00,0655:09:00,1,08
17:52:09,0.14387,217.70,0.4943,15.50964,45.28815,31.25944,45.14606,50.00,0655:09:01,1,08
17:52:10,0.14428,217.70,0.49421,15.54844,45.40144,31.25944,45.14606,50.00,0655:09:02,1,08
17:52:11,0.14533,217.70,0.48957,15.5147,45.30293,31.25945,45.14607,50.00,0655:09:03,1,08
17:52:12,0.14406,217.70,0.49425,15.52314,45.32756,31.25945,45.14607,50.00,0655:09:04,1,08
17:52:13,0.14452,217.60,0.49266,15.51808,45.31278,31.25946,45.14608,50.00,0655:09:05,1,08
17:52:14,0.14409,217.60,0.49538,15.55687,45.42607,31.25946,45.14608,50.00,0655:09:06,1,08
17:52:15,0.13468,217.60,0.48707,14.29856,41.75179,31.25946,45.14608,50.00,0655:09:07,1,08
17:52:16,0.13851,217.70,0.48609,14.67976,42.86491,31.25947,45.14609,50.00,0655:09:08,1,08
17:52:17,0.14519,217.90,0.48962,15.51133,45.29308,31.25947,45.14609,50.00,0655:09:10,1,08
17:52:18,0.1448,217.90,0.49146,15.53494,45.36204,31.25948,45.1461,50.00,0655:09:11,1,08
17:52:19,0.14416,217.90,0.49389,15.53832,45.37189,31.25948,45.1461,50.00,0655:09:12,1,08
17:52:20,0.14442,218.20,0.4922,15.53663,45.36696,31.25949,45.14611,50.00,0655:09:13,1,08
17:52:21,0.13748,218.10,0.48573,14.58699,42.59401,31.25949,45.14611,50.00,0655:09:14,1,08
17:52:22,0.13685,218.10,0.49047,14.66458,42.82058,31.2595,45.14612,50.00,0655:09:15,1,08
